,title,url,rating,reviews,price,search_url
0,"Samsung Galaxy Book Pro 15.6"" | i5 11th Gen, 8GB Memory 512GB SSD | Mystic Silver | (NP950XDB-KA2US) 2021",/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A055526331BOPJMPC2LBY&url=%2FSamsung-Galaxy-Memory-Mystic-NP950XDB-KA2US%2Fdp%2FB091WR26F4%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1620093194%26sr%3D8-1-spons%26psc%3D1&qualifier=1620093194&id=3157550224825306&widgetName=sp_atf,,,"$1,099.99",https://www.amazon.com/s?k=laptop
1,14.1 inch Laptop HD Display Intel 64-bit Celeron J3355 Processor 6GB RAM 64GB SSD scalable 1TB Solid State Drive Windows 10 Pro Silver,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07166993LG7OE7TMZEF4&url=%2FDisplay-Celeron-Processor-scalable-Windows%2Fdp%2FB08RC3KYFK%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1620093194%26sr%3D8-2-spons%26psc%3D1&qualifier=1620093194&id=3157550224825306&widgetName=sp_atf,3.6 out of 5 stars,11,$287.77,https://www.amazon.com/s?k=laptop
2,"ASUS Laptop L210 Ultra Thin Laptop, 11.6” HD Display, Intel Celeron N4020 Processor, 4GB RAM, 64GB Storage, NumberPad, Windows 10 Home in S Mode",/ASUS-Processor-NumberPad-Microsoft-L210MA-DB01/dp/B081V6W99V/ref=sr_1_3?dchild=1&keywords=laptop&qid=1620093194&sr=8-3,4.3 out of 5 stars,"1,895",$222.00,https://www.amazon.com/s?k=laptop
3,"HP Chromebook 14-inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 32 GB eMMC, Chrome (14a-na0010nr, Mineral Silver)",/HP-Chromebook-14-inch-Celeron-14a-na0010nr/dp/B08529TZMC/ref=sr_1_4?dchild=1&keywords=laptop&qid=1620093194&sr=8-4,4.5 out of 5 stars,"1,690",,https://www.amazon.com/s?k=laptop
4,"2021 Newest Dell Inspiron 3000 Laptop, 15.6 HD LED-Backlit Display, Intel Pentium Silver N5030 Processor, 16GB DDR4 RAM, 256GB PCIe Solid State Drive, Online Meeting Ready, Webcam, Win10 Home, Black",/Dell-Inspiron-LED-Backlit-Display-Processor/dp/B08X1CKDRG/ref=sr_1_5?dchild=1&keywords=laptop&qid=1620093194&sr=8-5,4.3 out of 5 stars,44,$539.00,https://www.amazon.com/s?k=laptop
5,Dell Inspiron 3583 15” Laptop Intel Celeron – 128GB SSD – 4GB DDR4 – 1.6GHz - Intel UHD Graphics 610 - Windows 10 Home - Inspiron 15 3000 Series - New,/Dell-Inspiron-3583-Laptop-Celeron/dp/B08HSNRFTX/ref=sr_1_6?dchild=1&keywords=laptop&qid=1620093194&sr=8-6,4.4 out of 5 stars,130,$365.00,https://www.amazon.com/s?k=laptop
6,"2021 HP 11.6"" HD Laptop for Student and Home use, Intel Celeron N4000, 4GB RAM, 96GB Storage(32GB eMMC+64GB SD Card), 1 Year Office 365, WiFi,HDMI,Google Classroom or Zoom Compatible,w/GM Accessories",/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0347724N9DY6NLRIOG7&url=%2FHP-Student-Classroom-Compatible-Accessories%2Fdp%2FB08QM9JMTJ%2Fref%3Dsr_1_7_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1620093194%26sr%3D8-7-spons%26psc%3D1%26smid%3DAM0VWZ1WMK39K&qualifier=1620093194&id=3157550224825306&widgetName=sp_mtf,4.3 out of 5 stars,19,$349.00,https://www.amazon.com/s?k=laptop
7,"2021 Newest Dell Inspiron 15.6’’ HD Laptop for Business and Student, Intel Pentium Silver N5030 Processor, 16GB RAM, 256GB PCle SSD + 1TB HDD, Webcam, USB, HDMI, Bluetooth, Windows 10 Home",/Dell-Inspiron-Business-Processor-Bluetooth/dp/B08XNRTV6M/ref=sr_1_8?dchild=1&keywords=laptop&qid=1620093194&sr=8-8,4.5 out of 5 stars,2,$549.00,https://www.amazon.com/s?k=laptop
8,"GIGABYTE AERO 15 OLED YC - 15.6"" - Intel Core i9-10980HK - NVIDIA GeForce RTX 3080 8 GB GDDR6 - 64 GB RAM - 2TB SSD - Win10 Pro - Creator & Gaming Laptop (AERO 15 OLED YC-9US5760SP)",/GIGABYTE-AERO-15-OLED-YC-9US5760SP/dp/B08VFKMTF2/ref=sr_1_9?dchild=1&keywords=laptop&qid=1620093194&sr=8-9,3.0 out of 5 stars,2,"$3,499.99",https://www.amazon.com/s?k=laptop
9,"HP Stream 14-inch Laptop, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Windows 10 Home in S Mode with Office 365 Personal for 1 Year (14-cb185nr, Royal Blue)",/HP-14-inch-Celeron-Personal-14-cb185nr/dp/B084SKWC89/ref=sr_1_10?dchild=1&keywords=laptop&qid=1620093194&sr=8-10,4.5 out of 5 stars,"3,102",$285.00,https://www.amazon.com/s?k=laptop
